hours,score,eca,sleep,practice,grade
1,79,Yes,7,7,56
5,76,Yes,6,5,62
9,98,Yes,9,8,99
6,57,Yes,8,3,46
7,93,Yes,7,4,86
5,87,Yes,4,3,73
6,85,No,8,4,74
5,51,Yes,7,1,37
9,56,No,4,4,50
6,76,Yes,6,9,65
8,85,No,6,7,79
2,77,Yes,4,8,53
9,54,Yes,8,6,55
5,46,No,4,6,31
7,53,Yes,9,5,47
1,89,Yes,4,1,63
5,40,Yes,6,9,27
2,77,Yes,6,9,53
6,42,No,6,8,33
1,76,Yes,9,4,56
3,83,No,7,5,65
5,70,Yes,9,0,55
4,82,Yes,7,4,67
3,52,Yes,9,5,32
5,87,Yes,5,9,73
8,57,No,7,1,45
4,56,Yes,8,6,43
1,56,Yes,8,3,32
7,50,Yes,6,4,42
8,59,No,9,2,55
3,49,No,4,4,28
6,68,No,6,3,58
2,87,No,4,9,67
7,73,Yes,9,5,66
8,56,Yes,6,1,46
6,93,No,6,2,79
6,91,Yes,8,9,83
5,81,Yes,4,0,63
8,52,No,5,6,45
1,83,Yes,5,8,63
4,86,No,6,1,70
4,78,No,9,6,58
3,66,No,6,2,50
3,93,No,8,4,77
4,92,No,4,5,75
1,65,No,6,7,40
2,67,Yes,9,3,43
9,52,Yes,5,1,47
2,51,Yes,4,2,22
5,83,No,6,7,71
9,67,No,4,6,63
9,41,No,8,5,37
8,76,Yes,5,4,72
1,96,Yes,9,4,73
1,96,No,4,0,72
9,73,No,5,5,68
8,62,No,6,8,59
9,97,No,9,7,97
7,91,No,9,9,83
3,84,Yes,7,0,65
3,68,No,4,5,47
2,74,No,5,2,51
5,50,No,4,5,32
3,87,No,6,8,63
6,72,Yes,6,5,60
2,90,No,9,7,70
3,50,No,9,5,32
5,48,No,5,5,32
1,53,Yes,8,6,29
1,48,No,4,9,21
9,78,Yes,4,3,74
7,87,No,6,7,81
1,42,No,4,3,11
8,68,No,5,6,65
3,58,No,7,0,37
8,75,No,9,8,75
5,71,No,6,9,61
1,46,No,9,8,17
7,94,No,9,6,87
5,67,No,9,7,52
6,83,Yes,7,1,71
6,57,Yes,4,9,46
8,99,Yes,8,9,99
9,44,Yes,9,6,40
2,62,No,5,0,42
9,94,No,9,2,91
9,61,Yes,9,5,57
7,65,Yes,4,4,58
1,81,Yes,5,4,55
7,51,Yes,4,8,46
5,79,No,9,5,64
6,58,Yes,4,2,45
7,86,No,4,1,78
5,40,No,6,8,24
7,42,No,7,9,36
9,66,Yes,8,3,65
3,57,Yes,7,4,35
8,89,No,7,8,87
2,69,Yes,5,4,45
7,41,Yes,6,6,35
2,44,No,6,1,18
4,68,No,4,1,46
7,72,Yes,7,3,63
3,81,No,8,7,62
2,59,Yes,5,1,35
7,69,Yes,6,9,63
1,81,No,4,6,58
8,44,No,8,0,37
3,89,Yes,7,8,74
2,60,No,8,9,40
3,97,Yes,6,5,78
5,54,No,5,0,38
8,59,Yes,7,9,55
7,47,No,5,5,39
7,88,Yes,9,4,84
7,70,Yes,8,4,60
8,51,No,8,4,47
1,60,Yes,4,3,34
4,69,Yes,7,6,54
6,66,Yes,8,8,56
9,83,Yes,6,3,82
2,65,Yes,9,1,45
1,72,No,6,1,45
2,65,Yes,5,1,43
7,65,Yes,9,6,57
3,75,Yes,9,3,56
2,79,No,6,3,56
7,40,No,8,0,30
2,98,Yes,6,3,75
3,54,Yes,7,5,33
7,89,No,5,1,80
4,40,No,9,3,27
1,50,Yes,7,6,26
5,94,No,8,8,81
9,41,Yes,8,1,41
8,40,Yes,6,7,34
9,70,Yes,4,5,68
9,83,No,9,7,83
7,55,Yes,9,1,44
4,93,Yes,4,0,75
5,61,No,8,6,52
1,81,Yes,8,8,56
1,57,Yes,9,8,37
3,86,Yes,5,1,67
8,56,No,9,3,50
2,69,No,8,0,46
4,49,Yes,8,6,31
2,74,No,5,1,51
5,97,Yes,7,3,82
9,60,Yes,7,1,58
1,55,No,5,0,31
5,45,No,5,6,29
9,42,Yes,7,5,40
1,80,No,7,1,51
9,82,No,7,3,79
8,60,No,7,2,52
4,52,Yes,9,2,36
5,57,Yes,9,2,43
5,97,No,6,3,81
6,93,Yes,5,0,81
7,99,Yes,4,0,84
8,63,No,6,6,55
8,66,Yes,4,4,64
2,93,No,4,2,68
9,43,Yes,8,8,41
7,61,Yes,5,4,53
4,63,No,9,9,50
4,79,Yes,6,2,65
8,84,No,5,8,78
4,49,Yes,7,0,31
6,41,Yes,5,8,30
5,79,Yes,4,4,64
3,45,No,9,5,26
2,87,Yes,7,1,66
9,57,Yes,5,7,55
9,56,No,5,2,52
1,77,No,9,0,57
3,84,Yes,4,6,68
8,62,No,7,2,57
6,85,No,4,3,75
5,69,No,9,4,54
5,97,No,5,0,82
6,60,Yes,6,8,51
7,49,No,6,6,43
1,95,Yes,8,1,68
9,82,Yes,6,0,77
3,52,Yes,9,1,33
4,51,No,9,2,37
1,48,No,9,2,23
3,43,Yes,7,7,26
2,78,Yes,8,4,56
2,63,No,7,8,42
1,93,No,6,2,65
8,73,Yes,6,5,66
3,78,No,5,3,57
3,80,No,7,7,59
6,44,Yes,4,0,28
8,54,No,5,3,46
9,89,No,7,6,84
9,43,Yes,9,8,42
4,90,No,8,0,73
5,91,Yes,7,7,77
2,97,No,8,1,74
9,78,Yes,8,3,75
8,97,No,6,3,94
3,47,Yes,4,7,27
9,88,No,7,1,89
3,84,No,4,6,62
9,63,No,8,2,59
2,92,Yes,6,8,73
9,67,No,4,4,57
8,94,Yes,5,7,90
9,82,No,8,4,80
5,66,No,5,0,50
2,40,No,9,8,18
8,73,No,4,9,68
6,56,No,4,6,39
8,76,No,4,3,67
5,77,Yes,9,6,69
2,65,Yes,7,4,43
6,96,No,8,9,84
5,63,No,8,8,50
5,78,No,8,1,65
1,99,No,7,3,74
2,60,No,4,5,35
8,69,Yes,4,4,61
3,86,No,9,0,64
3,90,No,5,8,66
8,87,Yes,7,8,81
8,96,Yes,6,2,93
2,52,Yes,7,3,28
8,76,No,9,3,71
1,42,No,5,9,13
6,71,No,5,7,59
8,74,No,5,5,67
3,58,No,4,1,35
8,53,Yes,6,3,46
1,87,No,5,0,59
9,61,No,8,2,57
9,56,No,4,3,51
5,98,Yes,6,7,80
4,43,No,8,2,22
6,84,No,6,4,71
7,79,No,9,0,73
5,58,No,6,3,40
9,76,Yes,8,1,75
3,41,Yes,7,3,24
7,54,Yes,6,4,45
5,41,No,7,2,25
7,50,Yes,6,5,42
2,84,Yes,9,1,63
4,62,No,8,4,44
2,49,No,6,3,26
7,42,Yes,5,4,31
2,44,Yes,9,8,26
1,42,Yes,5,5,15
9,77,Yes,9,6,77
1,52,No,9,7,31
8,81,No,6,8,75
2,58,Yes,8,4,34
8,79,Yes,8,7,74
3,89,Yes,4,1,68
6,74,No,8,9,64
3,63,No,7,8,43
7,63,No,6,1,54
9,56,Yes,5,4,53
2,79,No,8,5,56
5,49,Yes,5,3,34
6,41,Yes,4,7,27
4,83,No,6,9,66
4,62,Yes,8,2,41
4,45,No,5,4,25
2,41,No,9,1,20
4,60,Yes,8,2,45
1,94,Yes,4,7,70
6,95,No,9,4,86
1,74,No,5,2,46
6,88,No,5,4,73
1,68,No,6,8,42
6,46,No,6,2,27
8,68,No,5,9,64
2,92,No,9,6,71
2,76,Yes,6,7,56
4,62,No,5,4,43
3,72,Yes,9,2,50
4,47,Yes,7,5,31
7,51,No,8,2,42
1,85,No,7,8,60
6,87,No,7,1,76
3,49,No,8,2,28
7,54,No,5,6,45
2,92,Yes,5,9,71
2,63,Yes,6,7,44
4,65,No,4,4,48
1,86,No,5,4,57
3,81,No,8,4,61
9,92,No,4,3,86
7,99,Yes,8,8,95
7,78,Yes,8,5,70
4,97,Yes,8,7,81
2,42,No,4,7,18
4,41,No,7,4,24
6,45,No,9,8,32
3,60,Yes,8,1,40
1,48,Yes,6,7,25
8,49,Yes,5,2,41
5,75,No,9,6,66
5,98,Yes,5,8,83
4,42,No,5,4,22
6,80,Yes,4,7,70
3,63,No,6,3,42
9,61,No,6,0,56
5,88,No,9,0,72
3,53,No,6,5,31
1,81,Yes,6,7,60
6,84,Yes,6,9,74
2,83,Yes,9,1,62
3,66,No,7,3,44
1,72,Yes,6,2,46
9,99,No,6,8,96
8,61,Yes,4,2,51
2,68,Yes,4,7,43
8,58,No,6,6,51
9,58,No,7,0,58
1,45,No,6,7,23
5,84,Yes,6,8,67
8,58,No,6,7,50
2,52,Yes,8,9,31
4,98,Yes,7,9,83
7,65,Yes,5,0,55
3,61,No,6,6,44
5,60,Yes,5,8,45
8,75,No,7,4,73
3,95,No,6,1,76
4,41,Yes,5,7,23
9,86,Yes,9,8,84
7,83,Yes,5,6,73
1,69,Yes,7,4,48
4,66,No,6,7,50
4,46,No,8,5,30
9,59,No,7,3,51
6,89,No,8,0,76
9,70,No,6,5,66
6,62,No,5,7,50
6,52,No,9,2,40
5,56,No,9,6,42
5,43,No,7,6,29
2,96,Yes,7,8,77
8,53,Yes,7,0,45
8,59,No,4,4,49
1,99,No,9,7,74
8,52,Yes,9,2,45
5,42,Yes,6,4,27
2,65,Yes,4,0,44
2,65,No,7,8,42
6,57,Yes,7,3,43
9,71,Yes,8,4,68
1,53,Yes,4,2,29
6,86,Yes,5,1,73
9,42,Yes,9,6,39
8,40,No,6,4,30
6,65,Yes,5,9,53
3,63,No,5,2,38
8,88,Yes,6,1,82
9,74,Yes,7,9,72
1,53,Yes,9,5,24
9,42,Yes,8,9,44
6,52,Yes,7,5,45
6,86,No,7,2,75
4,89,No,4,8,75
1,53,No,5,0,26
8,60,No,5,2,49
2,65,No,9,0,42
1,42,No,5,6,14
2,90,No,8,1,64
1,79,Yes,8,3,54
1,43,No,8,3,16
9,75,Yes,6,7,73
1,90,Yes,9,3,67
4,82,No,8,2,69
6,40,Yes,4,9,28
7,79,Yes,4,2,67
2,86,No,7,4,62
6,72,Yes,7,5,60
7,46,No,9,6,43
2,92,Yes,7,4,70
2,91,No,7,6,70
7,91,Yes,4,3,84
1,95,No,7,4,72
8,50,Yes,4,5,44
3,66,No,8,8,46
6,53,Yes,8,5,41
9,61,Yes,9,9,58
6,55,No,6,0,44
9,85,Yes,7,6,89
7,51,No,8,2,45
9,88,Yes,8,5,87
2,85,Yes,9,1,61
8,49,No,5,6,41
8,63,Yes,5,0,57
2,85,No,9,1,62
4,57,Yes,4,8,39
7,61,Yes,6,8,54
4,48,Yes,9,6,33
4,56,Yes,5,1,42
6,77,No,6,4,70
6,79,No,8,3,67
3,97,Yes,9,1,80
9,52,Yes,4,1,44
2,89,No,6,9,69
6,76,Yes,5,7,66
7,45,No,8,4,35
9,60,Yes,9,7,61
3,90,Yes,7,1,68
3,75,No,8,1,55
7,46,Yes,5,2,36
4,75,No,9,9,56
8,64,No,5,7,58
7,50,No,7,7,40
5,83,No,8,2,68
7,53,No,6,0,43
3,84,No,6,6,61
2,68,Yes,8,3,45
6,49,No,6,2,36
2,89,No,9,4,67
3,87,Yes,8,5,67
6,44,No,8,0,29
5,47,Yes,5,8,31
8,85,No,4,5,74
9,44,No,5,2,37
3,97,No,6,0,79
3,99,Yes,4,8,76
3,63,Yes,8,1,45
6,79,No,6,9,65
1,96,No,7,5,72
7,65,Yes,6,5,62
1,45,Yes,4,2,19
5,55,Yes,4,5,39
8,99,No,8,1,93
4,75,Yes,9,7,62
5,51,Yes,7,0,37
4,50,Yes,8,5,34
4,42,Yes,7,0,23
8,83,Yes,7,8,79
2,76,Yes,8,8,51
1,45,Yes,6,5,18
3,58,No,5,5,41
9,57,Yes,7,8,57
4,55,No,4,4,36
5,62,No,8,8,47
2,82,Yes,9,4,65
4,76,No,6,3,57
2,48,No,7,1,22
2,42,Yes,9,1,20
4,47,No,6,0,27
6,77,Yes,8,9,64
7,43,Yes,9,2,32
3,51,Yes,4,0,29
3,83,Yes,7,5,62
6,70,Yes,7,6,56
3,64,Yes,9,8,43
2,92,Yes,6,6,70
8,55,No,8,3,49
5,81,Yes,5,3,68
1,93,No,7,7,66
3,53,Yes,4,3,31
8,52,Yes,7,0,44
4,80,Yes,7,8,65
7,46,No,5,2,36
2,51,No,5,0,27
7,76,No,8,8,71
5,89,No,7,9,76
5,43,No,7,9,31
6,41,No,6,4,26
9,74,Yes,6,8,69
6,97,Yes,9,2,90
8,83,No,9,5,79
7,42,No,4,6,33
9,43,No,4,4,40
4,77,No,6,7,58
2,51,No,9,9,28
7,58,Yes,4,5,50
6,49,Yes,7,5,37
1,40,Yes,9,6,15
9,56,Yes,5,7,50
9,55,Yes,9,1,55
2,48,Yes,7,6,25
3,96,Yes,6,8,79
5,92,Yes,8,0,79
5,48,No,8,0,36
1,98,No,6,6,69
8,94,Yes,7,4,83
8,48,Yes,4,0,44
4,51,Yes,9,0,36
7,94,No,9,1,84
3,80,No,4,9,58
6,54,Yes,8,8,44
9,41,No,6,2,36
1,50,Yes,6,8,23
5,50,Yes,5,5,33
4,47,Yes,8,9,31
8,94,Yes,6,5,90
1,71,Yes,5,6,45
9,45,No,4,9,40
6,92,Yes,8,7,81
4,59,Yes,8,2,47
9,78,Yes,6,7,75
5,74,Yes,6,5,61
5,47,No,7,5,37
5,89,Yes,4,2,75
1,88,Yes,4,5,63
1,82,No,9,7,61
8,73,Yes,5,6,70
8,96,Yes,5,9,91
6,92,Yes,7,9,80
4,98,Yes,9,6,83
2,95,No,4,2,72
2,58,Yes,5,9,35
9,46,Yes,4,2,41
5,70,No,4,4,57
4,57,Yes,9,4,43
1,79,Yes,5,8,55
7,53,No,6,8,42
3,78,Yes,6,9,59
6,99,No,9,4,90
5,92,Yes,5,4,79
5,99,No,7,5,89
5,98,Yes,8,7,87
1,75,Yes,9,5,50
1,56,No,4,5,33
3,76,Yes,9,8,58
4,83,No,8,0,68
5,48,No,9,3,33
2,97,No,5,9,73
8,59,No,4,9,50
2,84,Yes,8,1,59
9,96,No,6,8,93
2,67,Yes,7,2,47
9,89,Yes,9,9,89
7,59,No,9,1,47
8,80,No,8,7,77
2,75,Yes,7,3,53
7,92,No,9,1,87
6,66,Yes,6,3,53
4,47,No,8,6,28
7,71,Yes,5,6,66
4,40,Yes,4,0,23
2,56,No,6,0,28
7,96,Yes,7,2,89
8,48,Yes,7,1,38
2,59,No,6,2,37
5,84,No,5,3,66
1,71,No,9,6,44
7,41,No,5,1,33
8,71,No,9,6,67
6,84,Yes,9,4,76
5,48,Yes,7,7,33
6,69,No,9,7,59
2,59,Yes,6,4,39
1,77,Yes,9,9,55
7,99,Yes,6,7,96
7,40,Yes,4,8,30
2,99,Yes,7,6,80
2,96,No,5,5,75
1,44,No,8,6,19
8,74,Yes,5,6,71
8,75,Yes,5,2,67
1,40,No,8,5,16
8,53,No,7,5,45
9,48,No,9,8,44
4,69,No,4,0,50
1,63,Yes,5,6,37
1,43,No,9,0,15
3,89,No,5,9,71
5,53,Yes,7,3,42
5,64,No,7,6,49
9,43,No,6,5,41
2,64,No,7,5,40
2,49,No,7,4,25
6,74,No,5,6,62
9,94,Yes,4,8,93
1,46,Yes,5,5,19
9,81,Yes,9,9,77
9,52,Yes,7,6,52
9,43,Yes,6,8,41
5,89,No,4,6,69
9,82,No,6,5,82
4,96,No,8,2,82
2,75,No,6,0,49
6,95,No,6,9,82
4,53,No,9,8,40
6,57,No,7,6,48
3,47,No,9,2,28
6,71,No,7,9,60
2,66,No,9,8,43
2,81,No,7,2,59
9,76,No,7,2,71
7,62,No,7,6,52
3,46,Yes,6,1,27
1,51,No,8,9,28
8,64,Yes,7,6,62
6,42,No,8,6,27
7,65,No,8,0,55
9,43,No,5,9,39
5,81,Yes,5,1,66
1,75,Yes,4,4,46
7,54,No,9,3,47
5,71,No,5,2,59
3,68,No,7,9,46
9,49,No,8,7,47
1,60,Yes,9,6,39
1,93,Yes,4,8,67
1,55,No,5,2,26
3,86,Yes,6,9,68
6,58,Yes,9,0,49
3,68,No,4,8,45
8,91,No,7,8,88
2,90,No,9,0,67
9,57,Yes,8,7,54
3,97,No,7,9,75
5,83,Yes,7,0,67
8,96,No,9,5,91
2,55,No,6,8,30
6,40,Yes,6,2,29
5,87,Yes,9,5,75
9,41,Yes,9,2,41
5,95,Yes,9,4,84
2,54,Yes,8,6,31
5,78,Yes,5,9,64
4,67,No,7,3,48
7,40,Yes,9,3,29
6,44,Yes,5,6,33
2,81,No,8,4,59
5,61,Yes,7,0,45
7,92,Yes,5,9,86
7,75,No,7,1,65
5,85,No,6,5,73
9,52,No,9,8,50
4,40,Yes,6,6,20
3,55,No,4,3,36
4,94,Yes,8,1,78
5,80,No,9,3,65
6,61,Yes,5,4,48
3,71,No,7,1,49
2,55,No,4,0,32
4,90,No,8,3,69
5,54,Yes,8,5,41
4,97,Yes,8,0,77
3,85,No,5,0,60
8,91,No,9,8,88
4,81,No,6,4,61
2,92,No,4,1,69
2,51,Yes,5,1,29
1,99,No,7,3,73
4,40,No,5,1,22
9,92,Yes,7,3,93
7,56,Yes,7,5,46
7,80,No,8,6,74
7,94,No,5,5,83
8,90,Yes,6,3,84
1,96,Yes,7,9,71
8,89,No,8,2,82
4,67,Yes,6,3,49
4,46,Yes,5,4,27
4,48,No,6,3,29
6,61,No,5,2,50
7,65,Yes,7,0,53
6,92,No,4,2,80
1,51,No,4,4,21
8,46,No,9,5,39
7,85,No,9,3,74
6,86,No,7,0,76
6,54,Yes,6,9,43
5,77,Yes,5,6,61
6,60,No,4,8,48
9,53,No,5,5,48
9,41,No,7,5,40
8,47,Yes,6,8,40
9,84,Yes,5,3,80
8,94,Yes,6,4,90
8,45,Yes,4,4,36
1,76,No,5,4,48
5,76,No,8,7,60
4,96,Yes,4,0,76
2,72,Yes,6,9,47
8,80,No,7,9,73
3,45,No,8,2,22
4,91,No,9,7,74
7,65,No,5,8,58
9,78,No,9,1,76
2,80,Yes,4,3,59
3,76,No,5,7,55
4,53,Yes,5,4,33
1,76,Yes,8,0,50
7,47,No,8,5,37
2,78,Yes,8,8,58
5,52,Yes,8,8,36
1,52,No,7,0,25
3,79,Yes,6,3,62
2,82,No,8,0,57
1,67,No,4,6,39
7,97,Yes,5,2,84
5,57,No,9,1,45
1,96,No,8,7,72
6,58,Yes,4,8,45
5,77,No,7,6,63
3,71,Yes,4,5,50
7,61,Yes,9,9,53
9,41,No,9,5,36
9,99,Yes,4,8,97
9,52,No,7,4,49
2,62,Yes,9,4,40
3,64,No,7,1,43
7,67,No,5,5,60
5,97,Yes,8,5,85
2,50,Yes,9,5,26
3,72,No,4,3,53
6,63,No,6,6,53
7,41,Yes,6,8,34
9,69,No,5,0,63
1,56,No,6,2,31
7,79,Yes,5,9,71
8,73,Yes,8,8,67
3,77,No,5,4,57
4,61,Yes,7,5,46
6,44,Yes,7,7,34
7,87,No,7,8,76
4,79,Yes,9,7,65
8,90,Yes,7,2,84
5,55,No,7,9,38
1,52,Yes,7,0,27
4,65,No,7,4,49
3,70,Yes,9,6,52
9,91,Yes,7,1,86
8,78,No,7,0,74
1,87,Yes,8,3,64
6,62,Yes,9,2,53
9,87,Yes,7,3,87
7,51,Yes,5,0,43
4,53,Yes,8,1,37
1,95,Yes,9,0,68
2,57,No,6,2,32
5,66,Yes,4,3,49
5,67,Yes,9,0,56
8,57,No,8,5,52
6,55,No,7,1,41
8,91,No,8,9,87
2,55,Yes,4,4,34
3,52,No,4,7,32
6,97,No,9,3,89
3,68,Yes,7,4,46
6,48,No,7,8,36
6,65,Yes,5,1,51
2,67,Yes,4,1,46
7,80,Yes,7,5,72
2,52,Yes,4,5,27
6,75,Yes,5,2,59
1,48,No,6,8,25
3,86,Yes,4,0,67
2,53,No,5,2,24
7,90,Yes,5,7,82
4,51,No,5,7,35
8,92,Yes,8,3,88
6,97,Yes,9,7,87
4,96,Yes,7,9,79
5,71,No,4,7,58
9,77,No,9,0,76
7,42,No,8,2,34
9,97,Yes,4,0,95
7,96,Yes,9,1,93
1,93,No,8,3,67
8,91,Yes,7,2,85
4,55,No,5,5,36
3,59,Yes,9,4,38
7,71,No,9,4,66
3,95,No,4,9,78
8,62,Yes,5,6,58
6,56,No,7,6,48
5,55,Yes,4,8,41
4,77,Yes,6,7,61
8,47,Yes,6,2,42
8,58,No,6,1,50
1,69,No,7,0,40
9,96,No,6,9,94
5,97,Yes,9,5,84
4,73,Yes,4,3,59
6,53,No,9,2,39
6,61,Yes,6,1,49
2,83,Yes,4,1,59
8,56,No,9,3,49
7,99,No,7,0,89
1,98,Yes,5,5,73
5,54,Yes,9,9,40
6,89,No,8,4,79
4,87,No,6,9,74
2,71,Yes,8,8,49
4,52,Yes,5,1,35
1,60,Yes,7,8,39
7,88,No,9,8,83
2,79,Yes,7,9,56
2,72,Yes,5,8,46
9,96,Yes,8,9,95
5,97,Yes,9,9,86
2,66,Yes,6,3,39
9,74,Yes,4,4,70
9,55,No,7,7,51
1,67,No,5,7,41
3,73,No,9,0,53
4,86,Yes,8,9,71
7,40,No,6,0,31
4,80,Yes,8,9,63
2,87,Yes,6,5,61
7,70,Yes,9,6,65
6,75,Yes,4,1,63
3,83,Yes,4,1,63
6,72,No,5,4,58
6,72,No,5,8,62
5,78,No,6,4,61
4,57,Yes,6,7,40
1,62,No,6,7,39
6,99,Yes,6,4,89
2,62,No,9,7,40
3,54,No,9,7,35
8,65,No,4,4,55
6,69,No,5,4,60
3,64,No,5,3,45
7,84,No,7,0,76
4,55,Yes,5,8,38
9,78,Yes,5,1,73
5,87,Yes,8,0,72
3,84,Yes,8,5,68
2,53,Yes,7,4,27
2,56,No,6,0,33
3,51,Yes,7,6,28
2,68,Yes,7,6,46
4,71,Yes,4,2,52
2,95,Yes,9,7,72
9,63,Yes,5,5,58
2,91,Yes,4,3,69
9,52,Yes,9,9,54
6,95,Yes,5,9,85
1,59,Yes,7,9,33
4,54,No,5,2,33
1,95,Yes,6,0,67
6,92,Yes,6,1,80
4,43,No,7,1,25
3,93,No,8,4,76
3,73,Yes,6,3,53
9,67,Yes,7,1,63
6,89,Yes,4,8,75
9,41,No,8,6,38
5,96,Yes,6,7,79
2,86,No,7,7,63
8,69,No,7,1,60
5,65,No,4,4,49
2,90,No,4,2,66
4,86,No,8,9,71
9,65,Yes,9,8,66
4,59,Yes,6,8,41
4,81,No,7,5,67
2,67,No,8,3,46
6,95,No,8,7,86
2,59,No,4,4,37
7,50,Yes,7,2,42
3,97,No,5,7,77
3,49,No,9,5,32
5,62,Yes,9,4,47
3,76,Yes,4,0,54
2,80,Yes,7,2,60
9,91,Yes,8,6,89
2,58,No,9,2,34
2,84,No,8,0,59
8,57,No,6,7,52
9,88,No,5,6,84
7,66,No,4,4,57
3,45,No,9,9,30
9,49,No,6,4,47
3,41,No,6,5,15
5,63,No,5,6,49
9,77,Yes,4,2,74
3,67,No,4,3,45
7,67,Yes,8,0,61
1,92,Yes,4,6,67
4,84,Yes,6,9,64
4,89,Yes,8,1,73
7,78,No,4,6,68
8,41,Yes,5,5,33
1,85,Yes,6,3,60
5,44,No,7,1,30
7,89,Yes,5,6,82
4,50,No,5,6,33
4,49,No,4,4,28
4,82,No,8,8,64
6,98,No,8,2,88
7,41,Yes,6,8,35
2,54,No,4,4,30
5,78,Yes,8,1,60
4,80,Yes,9,8,66
3,76,No,7,0,52
7,46,Yes,9,0,39
6,59,No,4,6,45
7,73,Yes,4,2,64
5,74,Yes,8,7,66
6,73,Yes,5,6,61
5,92,Yes,4,6,76
7,61,No,5,0,49
2,70,No,6,0,43
5,62,Yes,6,1,45
6,58,Yes,8,1,49
6,43,Yes,6,4,27
5,63,Yes,9,8,50
7,59,No,9,6,52
8,78,Yes,9,1,72
7,67,Yes,8,4,62
5,93,Yes,8,4,80
1,78,No,9,7,53
5,56,Yes,5,8,42
2,58,No,9,7,37
5,93,No,5,1,77
5,87,Yes,6,3,73
2,74,Yes,5,1,46
5,71,Yes,4,5,54
4,86,No,7,3,70
1,85,No,4,6,60
3,86,Yes,4,1,67
1,85,No,8,8,58
5,78,Yes,7,4,63
4,96,Yes,8,0,83
7,74,Yes,5,2,64
5,69,Yes,9,3,57
4,56,Yes,5,2,45
2,81,Yes,7,5,61
4,86,No,6,5,68
2,68,No,5,9,45
8,45,No,4,6,39
3,99,Yes,7,8,77
9,56,Yes,7,9,55
4,56,Yes,5,8,38
6,53,No,5,6,40
5,63,Yes,8,0,49
1,96,No,8,2,74
9,89,Yes,4,4,86
1,96,No,7,9,72
8,76,Yes,6,5,72
9,79,Yes,6,5,77
9,78,No,7,4,76
1,94,No,4,5,67
2,71,No,8,8,52
1,75,Yes,8,0,52
2,89,No,8,0,67
8,76,No,6,8,66
5,87,Yes,6,7,74
7,53,Yes,4,8,40
2,66,No,6,6,44
8,98,Yes,5,9,97
6,58,No,6,5,48
8,70,No,8,8,65
1,85,No,4,1,57
1,48,Yes,7,3,19
7,77,No,7,1,68
8,56,No,4,5,48
3,58,Yes,5,0,34
5,83,No,7,6,67
1,43,No,8,6,15
7,87,No,7,6,83
5,96,Yes,7,3,83
8,50,No,8,7,46
8,61,Yes,6,4,57
9,43,Yes,5,1,42
7,56,No,8,4,51
1,47,No,8,9,24
3,85,Yes,9,8,64
8,98,No,4,9,94
3,73,No,5,0,50
8,50,Yes,6,1,41
1,70,No,9,9,45
5,50,No,8,7,37
4,95,Yes,9,4,75
5,93,No,6,8,80
8,95,Yes,9,5,94
4,77,Yes,9,7,62
4,92,No,9,0,73
3,60,Yes,8,8,43
7,85,No,8,8,78
3,69,No,4,2,51
3,49,Yes,7,0,24
5,65,Yes,5,7,46
5,66,Yes,4,7,51
6,47,Yes,6,8,35
8,78,Yes,9,5,75
6,47,Yes,8,8,38
1,99,No,9,9,79
8,47,No,8,8,42
8,94,Yes,5,3,89
9,73,No,4,4,66
9,98,Yes,4,5,100
2,55,Yes,6,5,34
2,80,No,4,9,59
3,52,No,4,1,28
1,62,Yes,7,3,39
4,51,Yes,5,8,36
4,66,Yes,9,6,52
9,61,No,4,8,57
9,71,Yes,6,5,66
9,96,Yes,9,6,95
7,88,No,8,8,79
2,66,No,4,3,42
5,41,No,4,8,23
4,84,Yes,9,2,67
8,72,Yes,8,7,64
2,65,No,7,2,43
6,67,Yes,5,2,56
5,58,Yes,7,2,43
2,82,No,6,8,55
1,44,No,9,9,16
8,72,Yes,4,2,65
2,59,No,7,5,38
7,69,No,5,3,57
9,84,Yes,6,1,83
9,47,Yes,7,2,47
8,77,Yes,4,4,71
9,56,Yes,5,9,56
2,83,Yes,4,3,57
6,40,Yes,4,4,23
4,42,No,6,0,27
4,85,No,5,3,65
5,65,No,8,9,54
3,70,Yes,4,2,50
1,47,Yes,5,1,23
8,82,Yes,4,6,77
5,98,Yes,7,9,83
3,85,Yes,7,8,66
7,47,No,5,0,38
7,74,Yes,6,6,65
1,78,No,8,0,54
9,67,Yes,7,4,65
2,90,No,6,0,68
5,43,No,8,2,31
5,96,No,7,7,83
8,55,No,8,3,49
8,52,No,9,0,45
7,59,No,4,0,46
7,90,No,5,7,85
6,44,Yes,7,7,33
6,94,Yes,7,3,83
9,76,No,4,3,71
6,59,Yes,7,9,49
2,63,Yes,7,1,39
2,75,No,9,1,51
5,73,Yes,7,5,57
4,97,No,7,7,81
2,84,Yes,7,6,65
3,87,No,6,6,66
7,93,Yes,7,2,86
8,73,No,4,1,66
6,58,Yes,9,9,50
5,56,Yes,7,6,46
1,44,Yes,8,3,20
8,64,No,9,0,58
3,57,No,9,0,38
6,99,Yes,8,3,91
3,94,Yes,4,4,77
7,92,No,6,4,83
7,89,Yes,4,0,79
9,47,Yes,6,2,50
5,66,No,5,5,51
8,54,No,8,9,49
8,84,Yes,9,6,79
1,52,No,9,0,26
5,55,Yes,9,7,42
3,61,Yes,8,3,42
1,59,No,8,8,35
4,52,Yes,6,5,31
8,59,No,9,0,50
